,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-04-03 00:00:00,12,27.0,1.0,29.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,31.8293,1.0,86.7512,1.0,641.09,3.1,0.0,1.0,0.0,1.0,17.5769,1.0,0.270254,1.0
2018-04-03 01:00:00,12,25.0,1.0,27.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,298.475,1.0,85.9778,1.0,640.704,3.1,0.0,1.0,0.0,1.0,17.5936,1.0,0.007004,1.0
2018-04-03 02:00:00,12,27.0,1.0,36.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,357.325,1.0,86.4736,1.0,640.094,3.1,0.0,1.0,0.0,1.0,17.6238,1.0,0.902424,1.0
2018-04-03 03:00:00,12,38.0,2.6,34.0,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,279.502,1.0,87.2837,1.0,639.659,3.1,0.0,1.0,0.0,1.0,17.5758,1.0,1.63455,1.0
2018-04-03 04:00:00,12,38.0,1.0,40.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,297.369,1.0,86.5066,1.0,639.457,3.1,0.0,1.0,0.0,1.0,17.5478,1.0,1.55197,1.0
2018-04-03 05:00:00,12,45.0,1.0,60.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,313.381,1.0,87.6717,1.0,639.585,3.1,0.0,1.0,0.0,1.0,17.3728,1.0,1.36317,1.0
2018-04-03 06:00:00,12,50.0,1.0,63.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,128.707,1.0,81.9471,1.0,639.89,3.1,0.0,1.0,0.0,1.0,17.5767,1.0,0.187897,1.0
2018-04-03 07:00:00,12,45.0,1.0,71.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,28.142,1.0,83.1444,1.0,640.308,3.1,0.0,1.0,6.75556,1.0,17.3217,1.0,0.739879,1.0
2018-04-03 08:00:00,12,49.0,1.0,83.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,32.0104,1.0,80.3442,1.0,640.836,3.1,0.0,1.0,130.602,1.0,17.7682,1.0,0.568105,1.0
2018-04-03 09:00:00,12,53.0,1.0,62.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,109.346,1.0,68.2272,1.0,641.195,3.1,0.0,1.0,282.52,1.0,19.8011,1.0,0.0775643,1.0
2018-04-03 10:00:00,12,55.0,1.0,64.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,113.207,1.0,61.8437,1.0,641.29,3.1,0.0,1.0,362.814,1.0,20.9577,1.0,0.226416,1.0
2018-04-03 11:00:00,12,48.0,1.0,56.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,56.8183,1.0,54.4699,1.0,641.013,3.1,0.0,1.0,763.052,1.0,22.9483,1.0,0.563261,1.0
2018-04-03 12:00:00,12,46.0,1.0,67.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,51.0661,1.0,50.055,1.0,640.386,3.1,0.0,1.0,513.004,1.0,24.1256,1.0,0.341812,1.0
2018-04-03 13:00:00,12,64.0,1.0,69.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,105.033,1.0,53.2157,1.0,639.719,3.1,0.0,1.0,392.702,1.0,23.883,1.0,0.740332,1.0
2018-04-03 14:00:00,12,34.0,1.0,51.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,132.576,1.0,46.359,1.0,638.915,3.1,0.0,1.0,393.04,1.0,25.0149,1.0,0.251336,1.0
2018-04-03 15:00:00,12,20.0,1.0,38.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,36.9065,1.0,46.0605,1.0,638.337,3.1,0.0,1.0,100.825,1.0,24.8589,1.0,0.177976,1.0
2018-04-03 16:00:00,12,25.0,1.0,73.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.2537,1.0,50.8973,1.0,638.246,3.1,0.0,1.0,70.2053,1.0,23.6052,1.0,1.15925,1.0
2018-04-03 17:00:00,12,32.0,1.0,76.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.9714,1.0,55.4266,1.0,638.353,3.1,0.0,1.0,56.2961,1.0,22.8275,1.0,1.16253,1.0
2018-04-03 18:00:00,12,23.0,1.0,75.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,28.5914,1.0,65.9329,1.0,638.615,3.1,0.0,1.0,19.4408,1.0,21.3805,1.0,1.0425,1.0
2018-04-03 19:00:00,12,24.0,1.0,53.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.3558,1.0,66.8231,1.0,639.141,3.1,0.0,1.0,0.0,1.0,21.0274,1.0,0.77657,1.0
2018-04-03 20:00:00,12,12.0,1.0,60.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,24.6218,1.0,68.5759,1.0,639.603,3.1,0.0,1.0,0.0,1.0,20.6334,1.0,0.844552,1.0
2018-04-03 21:00:00,12,9.0,1.0,35.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.2062,1.0,72.9939,1.0,640.287,3.1,0.0,1.0,0.0,1.0,19.975,1.0,0.848826,1.0
2018-04-03 22:00:00,12,15.0,1.0,42.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,15.824,1.0,73.8568,1.0,640.955,3.1,0.0,1.0,0.0,1.0,19.9004,1.0,0.674881,1.0
2018-04-03 23:00:00,12,16.0,1.0,28.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.372,1.0,76.8591,1.0,641.151,3.1,0.0,1.0,0.0,1.0,19.49,1.0,0.567105,1.0
2018-04-04 00:00:00,12,15.0,1.0,23.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,21.1931,1.0,78.0995,1.0,640.927,3.1,0.0,1.0,0.0,1.0,19.4178,1.0,0.605737,1.0
2018-04-04 01:00:00,12,30.0,1.0,36.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.3341,1.0,79.623,1.0,640.634,3.1,0.0,1.0,0.0,1.0,19.2154,1.0,0.530238,1.0
2018-04-04 02:00:00,12,22.0,1.0,29.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,12.3295,1.0,80.503,1.0,640.223,3.1,0.0,1.0,0.0,1.0,18.891,1.0,-9999.0,4.31
2018-04-04 03:00:00,12,23.0,1.0,28.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,25.6565,1.0,81.1976,1.0,639.973,3.1,0.0,1.0,0.0,1.0,18.6086,1.0,0.821728,1.0
